Time[s], Channel 0, Channel 1
-0.100000000000000, 0, 0
0.000000000000000, 1, 0
0.000013000000000, 1, 1
0.000039500000000, 1, 0
0.000053000000000, 0, 0
0.000066000000000, 0, 1
0.000092000000000, 0, 0
0.000105000000000, 1, 0
0.000118000000000, 1, 1
0.000145000000000, 1, 0
0.000171000000000, 1, 1
0.000197000000000, 1, 0
0.000210000000000, 0, 0
0.000223000000000, 0, 1
0.000250500000000, 0, 0
0.000276500000000, 0, 1
0.000302500000000, 0, 0
0.000329000000000, 0, 1
0.000356000000000, 0, 0
0.000382000000000, 0, 1
0.000408500000000, 0, 0
0.000421500000000, 1, 0
0.000434500000000, 1, 1
0.000461500000000, 1, 0
0.000488000000000, 1, 1
0.000514000000000, 1, 0
0.000527000000000, 0, 0
0.000540000000000, 0, 1
0.000567500000000, 0, 0
0.000580500000000, 1, 0
0.000593500000000, 1, 1
0.000622000000000, 1, 0
0.000648500000000, 1, 1
0.000674500000000, 1, 0
0.000688000000000, 0, 0
0.000701000000000, 0, 1
0.000727000000000, 0, 0
0.000740500000000, 1, 0
0.000753500000000, 1, 1
0.000780000000000, 1, 0
0.000806500000000, 1, 1
0.000832500000000, 1, 0
0.000859000000000, 1, 1
0.000885500000000, 1, 0
0.000912500000000, 1, 1
0.000938500000000, 1, 0
0.000964500000000, 1, 1
0.000991500000000, 1, 0
0.001005000000000, 0, 0
0.001018000000000, 0, 1
0.001044000000000, 0, 0
0.001070500000000, 0, 1
0.001097000000000, 0, 0
0.001110500000000, 1, 0
0.001123500000000, 1, 1
0.001149500000000, 1, 0
0.001163000000000, 0, 0
0.001176000000000, 0, 1
0.001202500000000, 0, 0
0.001216000000000, 1, 0
0.001229000000000, 1, 1
0.001255000000000, 1, 0
0.001281500000000, 1, 1
0.001308000000000, 1, 0
0.001322000000000, 0, 0
0.001335000000000, 0, 1
0.001361000000000, 0, 0
0.001387000000000, 0, 1
0.001413500000000, 0, 0
0.001427500000000, 1, 0
0.001440500000000, 1, 1
0.001466500000000, 1, 0
0.001492500000000, 1, 1
0.001519500000000, 1, 0
0.001546000000000, 1, 1
0.001572000000000, 1, 0
0.001585000000000, 0, 0
0.001598000000000, 0, 1
0.001625000000000, 0, 0
0.001638500000000, 1, 0
0.001651500000000, 1, 1
0.001677500000000, 1, 0
0.001703500000000, 1, 1
0.001730500000000, 1, 0
0.001744500000000, 0, 0
0.001757500000000, 0, 1
0.001783500000000, 0, 0
0.001796500000000, 1, 0
0.001809500000000, 1, 1
0.001836500000000, 1, 0
0.001863000000000, 1, 1
0.001889000000000, 0, 0
